,Random Forest,Logistic Regression,BernoulliNB,KNN
MAE - Training,0.29,0.3767251461988304,0.3987719298245614,0.0
score - Training,0.7751937984496123,0.7263613966527908,0.7149128308039634,1.0
MAE - Validation,0.37426661208896167,0.38968481375358166,0.40469368263064537,0.4684131532269068
Score - Validation,0.727660841938046,0.7195876288659794,0.7118989800874211,0.6810072477234715
