,importance
type_of_shot_shot - 46,0.19539779722485295
type_of_shot_shot - 47,0.1195787669751659
type_of_shot_shot - 48,0.164442705616186
type_of_shot_shot - 49,0.20812829032028132
type_of_shot_shot - 5,0.23341182338573774
type_of_shot_shot - 50,0.13310532935799094
type_of_shot_shot - 51,0.16041896224468044
type_of_shot_shot - 52,0.295455417455521
type_of_shot_shot - 53,0.1508575673199254
type_of_shot_shot - 54,0.16150124610136982
type_of_shot_shot - 55,0.1597554458689502
type_of_shot_shot - 56,0.2090458802067344
type_of_shot_shot - 6,0.1271512177863954
type_of_shot_shot - 7,0.1252061236565056
type_of_shot_shot - 8,0.16110195984629977
type_of_shot_shot - 9,0.16143101298184426
season_of_game_1997-98,0.4542504094832785
season_of_game_1998-99,0.5197310535810202
season_of_game_1999-00,0.6297080222332281
season_of_game_2000-01,0.864637957510245
season_of_game_2001-02,0.8937383164285353
season_of_game_2002-03,1.0799762369166435
season_of_game_2003-04,0.7454253807682627
season_of_game_2004-05,0.6560361363220711
season_of_game_2005-06,0.9601500842150412
season_of_game_2006-07,0.8801823809353371
season_of_game_2007-08,0.8982353205108852
season_of_game_2008-09,0.9741164194039137
season_of_game_2009-10,0.7999530951016345
season_of_game_2010-11,0.8011193935527374
season_of_game_2011-12,0.7744489160124721
season_of_game_2012-13,0.7458030072160367
season_of_game_2013-14,0.08162867094990231
season_of_game_2014-15,0.4042408604493183
season_of_game_2015-16,0.4729015069707459
